[2023-02-08 16:15:31.328163]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 16:15:32.330792]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:18:20.508702]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:18:21.434013]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 16:18:23.268663]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 16:18:23.323265]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 16:18:24.266969]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 16:18:25.145014]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 16:18:26.156851]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:19:25.072736]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:19:25.998609]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 16:19:27.782216]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 16:19:27.834228]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 16:19:28.757398]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 16:19:29.739788]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 16:19:30.728927]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:20:26.514862]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:20:27.427045]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 16:20:29.190308]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 16:20:29.242902]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 16:20:30.200908]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 16:20:31.089895]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 16:20:32.125830]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:21:44.998828]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:21:45.913626]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 16:21:47.782369]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 16:21:47.842956]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 16:21:48.791693]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
